City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
18,Kahului,US,86.02,scattered clouds,20.8947,-156.47,
19,Saint Anthony,US,89.38,clear sky,45.0205,-93.218,
65,Porbandar,IN,85.26,few clouds,21.6422,69.6093,
118,West Wendover,US,88.81,clear sky,40.7391,-114.0733,
152,Tambun,ID,85.46,haze,-6.2641,107.0712,
170,Siocon,PH,86.02,broken clouds,7.7061,122.1353,
178,Gidam,IN,85.12,broken clouds,18.9833,81.4,
196,Gorontalo,ID,87.3,scattered clouds,0.5412,123.0595,
200,Yingcheng,CN,86.05,overcast clouds,30.95,113.55,
244,Puerto Escondido,MX,85.03,broken clouds,15.85,-97.0667,
257,Oum Hadjer,TD,88.47,overcast clouds,13.2954,19.6966,
280,Dwarka,IN,85.24,scattered clouds,22.2394,68.9678,
297,Buraydah,SA,86.45,scattered clouds,26.326,43.975,
308,Bilma,NE,87.57,overcast clouds,18.6853,12.9164,
315,Tuy Hoa,VN,85.12,overcast clouds,13.0833,109.3,
329,Biltine,TD,86.67,overcast clouds,14.5333,20.9167,
350,Tautira,PF,86.02,clear sky,-17.7333,-149.15,
394,Tongren,CN,85.91,few clouds,27.7172,109.1853,
424,Prescott,US,85.68,clear sky,34.54,-112.4685,
443,Kendari,ID,85.51,broken clouds,-3.945,122.4989,
445,Meadow Lake,US,89.08,overcast clouds,34.8014,-106.5436,
476,Bat Khela,PK,86.16,clear sky,34.6167,71.9714,
530,Lubbock,US,85.37,scattered clouds,33.6001,-101.8338,
531,Honiara,SB,86.34,few clouds,-9.4333,159.95,
534,Indian Head,US,85.12,clear sky,38.6001,-77.1622,
562,Riyadh,SA,89.74,clear sky,24.6877,46.7219,
580,Jishou,CN,85.78,few clouds,28.3167,109.7167,
645,Haripur,PK,85.75,clear sky,34.0,72.9341,
654,Laureles,US,85.1,clear sky,26.1092,-97.4941,
