City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Chapais,CA,49.7834,-74.8492,69.58,64,15,5.68,few clouds
1,Saint-Philippe,RE,-21.3585,55.7679,71.19,82,98,17.67,light rain
2,Ponta Do Sol,PT,32.6667,-17.1,66.83,77,15,5.64,few clouds
3,Lompoc,US,34.6391,-120.4579,69.78,77,90,11.01,overcast clouds
4,Kasongo-Lunda,CD,-6.4667,16.8167,67.17,49,11,1.48,few clouds
5,Hayesville,US,44.986,-122.9829,62.42,65,77,15.99,broken clouds
6,Arraial Do Cabo,BR,-22.9661,-42.0278,72.97,88,69,14.61,broken clouds
7,Atuona,PF,-9.8,-139.0333,80.01,64,22,7.25,few clouds
8,Tuktoyaktuk,CA,69.4541,-133.0374,37.4,70,75,14.97,broken clouds
9,Severo-Kurilsk,RU,50.6789,156.125,43.83,92,100,13.42,overcast clouds
10,Tiksi,RU,71.6872,128.8694,44.74,58,99,1.12,light rain
11,Kolpny,RU,52.2282,37.0368,51.13,96,37,4.63,scattered clouds
12,Cherskiy,RU,68.75,161.3,70.47,33,59,20.67,broken clouds
13,Nuuk,GL,64.1835,-51.7216,41.61,100,90,5.75,mist
14,Hermanus,ZA,-34.4187,19.2345,66.9,45,2,11.81,clear sky
15,Hobart,AU,-42.8794,147.3294,62.22,54,75,7.0,broken clouds
16,Bluff,NZ,-46.6,168.3333,49.8,73,7,8.79,clear sky
17,Hofn,IS,64.2539,-15.2082,47.12,98,100,18.23,moderate rain
18,Kahului,US,20.8947,-156.47,86.02,64,40,23.02,scattered clouds
19,Saint Anthony,US,45.0205,-93.218,89.38,47,1,4.0,clear sky
20,Cabo San Lucas,MX,22.8909,-109.9124,96.8,40,1,0.0,clear sky
21,Pacific Grove,US,36.6177,-121.9166,74.01,71,20,1.01,few clouds
22,Maamba,ZM,-17.3667,27.15,50.86,74,30,1.01,scattered clouds
23,Toora-Khem,RU,52.4675,96.11,44.73,80,99,1.57,overcast clouds
24,Ushuaia,AR,-54.8,-68.3,42.46,65,40,20.71,scattered clouds
25,San Quintin,MX,30.4833,-115.95,63.77,69,9,10.74,clear sky
26,Peleduy,RU,59.6289,112.7406,54.3,40,10,12.84,clear sky
27,Guerrero,MX,17.6667,-100.0,74.17,79,100,4.38,overcast clouds
28,Ribeira Grande,PT,38.5167,-28.7,64.85,89,100,8.97,overcast clouds
29,Punta Arenas,CL,-53.15,-70.9167,35.71,87,0,11.18,clear sky
30,Kapaa,US,22.0752,-159.319,84.18,68,20,5.01,few clouds
31,Havelock,US,34.8791,-76.9013,77.95,90,40,3.0,scattered clouds
32,Fortuna,US,40.5982,-124.1573,67.19,62,1,7.0,clear sky
33,Sijunjung,ID,-0.6876,100.9537,75.4,70,9,2.01,clear sky
34,Hilo,US,19.7297,-155.09,83.28,71,90,13.8,overcast clouds
35,Manokwari,ID,-0.8667,134.0833,82.22,71,100,3.15,overcast clouds
36,Rikitea,PF,-23.1203,-134.9692,76.5,85,100,16.64,overcast clouds
37,Herat,AF,34.5,62.0,74.39,38,0,9.46,clear sky
38,Yakeshi,CN,49.2833,120.7333,69.17,44,0,6.4,clear sky
39,Jieshi,CN,22.8134,115.8257,79.09,73,39,17.94,scattered clouds
40,Mataura,NZ,-46.1927,168.8643,49.48,65,0,3.78,clear sky
41,Busselton,AU,-33.65,115.3333,51.04,69,7,4.76,clear sky
42,Kodiak,US,57.79,-152.4072,65.71,32,1,13.8,clear sky
43,Tabas,IR,33.5959,56.9244,90.59,11,0,4.92,clear sky
44,Chuy,UY,-33.6971,-53.4616,50.23,79,9,6.44,clear sky
45,Barrow,US,71.2906,-156.7887,32.02,86,90,14.97,overcast clouds
46,Yellowknife,CA,62.456,-114.3525,48.72,57,75,7.0,broken clouds
47,Butaritari,KI,3.0707,172.7902,82.89,72,17,8.5,light rain
48,Torbay,CA,47.6666,-52.7314,40.28,92,90,9.22,overcast clouds
49,Albany,US,42.6001,-73.9662,77.88,69,45,3.15,scattered clouds
