City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
7,Atuona,PF,80.01,few clouds,-9.8,-139.0333,
18,Kahului,US,86.02,scattered clouds,20.8947,-156.47,
19,Saint Anthony,US,89.38,clear sky,45.0205,-93.218,
30,Kapaa,US,84.18,few clouds,22.0752,-159.319,
34,Hilo,US,83.28,overcast clouds,19.7297,-155.09,
35,Manokwari,ID,82.22,overcast clouds,-0.8667,134.0833,
47,Butaritari,KI,82.89,light rain,3.0707,172.7902,
54,Aquiraz,BR,80.69,scattered clouds,-3.9014,-38.3911,
60,San Patricio,US,84.92,clear sky,28.017,-97.5169,
64,Victoria,HK,84.96,broken clouds,22.2855,114.1577,
65,Porbandar,IN,85.26,few clouds,21.6422,69.6093,
88,Kijang,KR,80.33,clear sky,35.2442,129.2139,
90,Sola,VU,80.51,scattered clouds,-13.8833,167.55,
101,Hithadhoo,MV,82.98,clear sky,-0.6,73.0833,
111,Shieli,KZ,81.3,clear sky,44.1667,66.75,
115,Kiunga,PG,82.62,overcast clouds,-6.1219,141.2906,
116,Neiafu,TO,83.08,broken clouds,-18.65,-173.9833,
118,West Wendover,US,88.81,clear sky,40.7391,-114.0733,
131,Hirara,JP,80.87,broken clouds,24.8,125.2833,
140,Kavieng,PG,83.77,light rain,-2.5744,150.7967,
141,Sagar,IN,84.34,overcast clouds,23.8333,78.7167,
142,Black River,JM,82.4,clear sky,18.0264,-77.8487,
151,Faanui,PF,81.39,scattered clouds,-16.4833,-151.75,
152,Tambun,ID,85.46,haze,-6.2641,107.0712,
155,Alot,IN,84.52,few clouds,23.7667,75.55,
157,Oskaloosa,US,81.18,scattered clouds,41.2964,-92.6444,
161,Pochutla,MX,83.25,overcast clouds,15.7432,-96.4661,
163,Buala,SB,84.58,light rain,-8.145,159.5921,
170,Siocon,PH,86.02,broken clouds,7.7061,122.1353,
174,Lamar,US,80.26,clear sky,33.6668,-95.5836,
176,Dingle,PH,84.56,overcast clouds,10.9995,122.6711,
178,Gidam,IN,85.12,broken clouds,18.9833,81.4,
180,Virudunagar,IN,81.0,scattered clouds,9.6,77.9667,
181,Ahuimanu,US,83.91,scattered clouds,21.4447,-157.8378,
188,Bengkulu,ID,80.2,scattered clouds,-3.8004,102.2655,
196,Gorontalo,ID,87.3,scattered clouds,0.5412,123.0595,
200,Yingcheng,CN,86.05,overcast clouds,30.95,113.55,
201,Port Keats,AU,83.66,clear sky,-14.25,129.55,
202,Luwuk,ID,84.97,broken clouds,-0.9516,122.7875,
206,La Mana,EC,81.61,light rain,-0.9333,-79.2167,
211,Ormara,PK,83.7,overcast clouds,25.2088,64.6357,
215,Cuajinicuilapa,MX,83.17,broken clouds,16.4667,-98.4167,
217,Babu,CN,84.33,clear sky,24.4167,111.5167,
226,Banjar,ID,80.46,scattered clouds,-8.19,114.9675,
228,Georgetown,MY,84.13,few clouds,5.4112,100.3354,
244,Puerto Escondido,MX,85.03,broken clouds,15.85,-97.0667,
252,San Policarpo,PH,83.23,broken clouds,12.1791,125.5072,
257,Oum Hadjer,TD,88.47,overcast clouds,13.2954,19.6966,
280,Dwarka,IN,85.24,scattered clouds,22.2394,68.9678,
291,Ratnagiri,IN,83.05,overcast clouds,16.9833,73.3,
297,Buraydah,SA,86.45,scattered clouds,26.326,43.975,
300,Wahiawa,US,80.92,broken clouds,21.5028,-158.0236,
301,Karratha,AU,80.58,scattered clouds,-20.7377,116.8463,
302,Sukumo,JP,80.19,overcast clouds,32.9333,132.7333,
308,Bilma,NE,87.57,overcast clouds,18.6853,12.9164,
315,Tuy Hoa,VN,85.12,overcast clouds,13.0833,109.3,
317,Bawku,GH,81.7,overcast clouds,11.0616,-0.2417,
322,Oriximina,BR,80.94,overcast clouds,-1.7656,-55.8661,
325,Anloga,GH,80.82,broken clouds,5.7947,0.8973,
327,Cukai,MY,82.54,overcast clouds,4.25,103.4167,
329,Biltine,TD,86.67,overcast clouds,14.5333,20.9167,
331,Katherine,AU,80.92,scattered clouds,-14.4667,132.2667,
337,Sur,OM,82.62,clear sky,22.5667,59.5289,
347,Lucea,JM,82.26,scattered clouds,18.451,-78.1736,
350,Tautira,PF,86.02,clear sky,-17.7333,-149.15,
354,Simpang,ID,81.77,moderate rain,-1.2667,104.0833,
361,Kollam,IN,80.47,few clouds,8.8833,76.6,
370,Biak,ID,82.47,broken clouds,-0.9131,122.8766,
374,Boa Vista,BR,82.38,few clouds,2.8197,-60.6733,
378,Chenghai,CN,82.31,few clouds,23.4632,116.768,
379,Julita,PH,81.25,overcast clouds,10.9747,124.9617,
381,Magdagachi,RU,81.25,overcast clouds,53.45,125.8,
383,Padang,ID,82.89,few clouds,-0.9492,100.3543,
394,Tongren,CN,85.91,few clouds,27.7172,109.1853,
396,Porto Novo,BJ,82.22,scattered clouds,6.4965,2.6036,
408,Port Hedland,AU,80.65,scattered clouds,-20.3167,118.5667,
409,Chizhou,CN,83.34,overcast clouds,30.6578,117.4831,
412,Maumee,US,82.54,clear sky,41.5628,-83.6538,
419,Ternate,ID,83.82,broken clouds,0.8,127.4,
424,Prescott,US,85.68,clear sky,34.54,-112.4685,
427,Japura,ID,83.12,scattered clouds,-0.3167,102.35,
428,Kavaratti,IN,82.17,overcast clouds,10.5669,72.642,
429,Westport,US,83.17,clear sky,41.1415,-73.3579,
431,Bethel,US,80.08,broken clouds,41.3712,-73.414,
432,Namatanai,PG,83.7,moderate rain,-3.6667,152.4333,
436,Muli,MV,82.72,scattered clouds,2.9167,73.5667,
437,Nicoya,CR,80.15,moderate rain,10.1483,-85.452,
443,Kendari,ID,85.51,broken clouds,-3.945,122.4989,
445,Meadow Lake,US,89.08,overcast clouds,34.8014,-106.5436,
449,Shache,CN,81.43,overcast clouds,38.4167,77.2406,
452,Kudahuvadhoo,MV,82.78,scattered clouds,2.6708,72.8944,
454,The Valley,AI,80.46,overcast clouds,18.217,-63.0578,
456,Mayo,US,84.87,clear sky,38.8876,-76.5119,
457,Uthal,PK,83.59,scattered clouds,25.8072,66.6219,
465,Labuhan,ID,83.43,overcast clouds,-6.8844,112.2051,
466,Waingapu,ID,84.34,overcast clouds,-9.6567,120.2641,
473,Tawau,MY,84.33,overcast clouds,4.2498,117.8871,
475,Umm Lajj,SA,81.77,clear sky,25.0213,37.2685,
476,Bat Khela,PK,86.16,clear sky,34.6167,71.9714,
488,Abeche,TD,83.71,broken clouds,13.8292,20.8324,
489,Temerloh,MY,83.3,broken clouds,3.4483,102.4176,
493,Tual,ID,81.19,overcast clouds,-5.6667,132.75,
494,Dholka,IN,82.78,few clouds,22.7167,72.4667,
495,Merke,KZ,80.46,scattered clouds,42.8728,73.1786,
506,Clive,US,80.92,broken clouds,41.603,-93.7241,
511,Lorengau,PG,84.81,scattered clouds,-2.0226,147.2712,
524,Kanniyakumari,IN,81.36,broken clouds,8.0833,77.5667,
528,Sterling,US,84.4,broken clouds,39.0062,-77.4286,
530,Lubbock,US,85.37,scattered clouds,33.6001,-101.8338,
531,Honiara,SB,86.34,few clouds,-9.4333,159.95,
534,Indian Head,US,85.12,clear sky,38.6001,-77.1622,
536,Tirumullaivasal,IN,84.63,overcast clouds,11.2333,79.8333,
538,Funadhoo,MV,82.65,overcast clouds,6.15,73.2667,
551,Elizabeth City,US,83.01,clear sky,36.2946,-76.2511,
555,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,
562,Riyadh,SA,89.74,clear sky,24.6877,46.7219,
580,Jishou,CN,85.78,few clouds,28.3167,109.7167,
599,Vaitape,PF,81.39,scattered clouds,-16.5167,-151.75,
601,Tabuk,PH,82.74,overcast clouds,17.4189,121.4443,
607,Bitung,ID,83.25,overcast clouds,1.4451,125.1824,
619,Labuan,MY,84.56,few clouds,5.2767,115.2417,
620,Amahai,ID,82.81,overcast clouds,-3.3333,128.9167,
623,Rameswaram,IN,83.91,broken clouds,9.2833,79.3,
628,Pierre,US,83.98,clear sky,44.3683,-100.351,
631,Lonar,IN,82.09,overcast clouds,19.9833,76.5333,
632,Ottawa,CA,84.04,broken clouds,45.4112,-75.6981,
634,Dong Hoi,VN,83.97,overcast clouds,17.4833,106.6,
639,Banda Aceh,ID,82.9,light rain,5.5577,95.3222,
